label,body_part,mean,sum,count
AKU CIUM BAU BADAN DIA,GL,0.3019678348711033,849.7374873272847,2814
AKU CIUM BAU BADAN DIA,GM,0.06327814587350877,1077.2471553506134,17024
AKU CIUM BAU BADAN DIA,GP,0.12859245503305156,2883.6858041161813,22425
AKU CIUM BAU BADAN DIA,GR,0.22815879565583008,2941.8795111862732,12894
AKU LIHAT ADA ULAR MASUK KELAS,GL,0.21616453657507279,1280.126385597581,5922
AKU LIHAT ADA ULAR MASUK KELAS,GM,0.036835203946728894,804.1493373610384,21831
AKU LIHAT ADA ULAR MASUK KELAS,GP,0.11206201491537371,3221.782928816994,28750
AKU LIHAT ADA ULAR MASUK KELAS,GR,0.20468286823484536,3305.4236391245176,16149
AKU NILAI JELEK,GL,0.20910060783882956,1062.6492890369318,5082
AKU NILAI JELEK,GM,0.07403538505650718,1026.8707907337546,13870
AKU NILAI JELEK,GP,0.2198473306296744,4012.2137839915576,18250
AKU NILAI JELEK,GR,0.18668262710045747,748.7840172999349,4011
"AKU PUSING SERING, AKU HARUS PERIKSA MANA",GL,0.2433152178935878,1001.4854368500073,4116
"AKU PUSING SERING, AKU HARUS PERIKSA MANA",GM,0.05764142214730147,1434.6949972463335,24890
"AKU PUSING SERING, AKU HARUS PERIKSA MANA",GP,0.19067324105440642,6244.54864453181,32750
"AKU PUSING SERING, AKU HARUS PERIKSA MANA",GR,0.23474059952695256,3120.4067895117805,13293
APA KAMU PERNAH BACA NOVEL B.INGGRIS,GL,0.18793737631688823,726.1900220884561,3864
APA KAMU PERNAH BACA NOVEL B.INGGRIS,GM,0.0441772384178963,1273.320542919025,28823
APA KAMU PERNAH BACA NOVEL B.INGGRIS,GP,0.11474183339000633,4360.1896688202405,38000
APA KAMU PERNAH BACA NOVEL B.INGGRIS,GR,0.19117246095128193,4187.250412215928,21903
AYAH SAMA IBU MANA,GL,0.17711133513526045,524.4266633355062,2961
AYAH SAMA IBU MANA,GM,0.060687434838918634,800.2245157859811,13186
AYAH SAMA IBU MANA,GP,0.12445776300593982,2162.4536322282042,17375
AYAH SAMA IBU MANA,GR,0.22360930194050446,2042.6709732265083,9135
BADAN AKU GEMUK TAPI BADAN ADIK KURUS,GL,0.22123524704943867,1844.4382546511702,8337
BADAN AKU GEMUK TAPI BADAN ADIK KURUS,GM,0.034395755139134516,1057.3943044872733,30742
BADAN AKU GEMUK TAPI BADAN ADIK KURUS,GP,0.1279415704759012,5181.633604273999,40500
